迁出省份,迁出城市,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229
湖南省,永州市,0.27,0.31,0.2,0.2,0.2,0.22,0.25,0.26,0.22,0.22,0.24,0.25,0.27,0.22,0.2,0.27,0.23,0.27,0.26,0.3,0.27,0.34,0.35,0.37,0.33,0.36,0.33,0.25,0.24
吉林省,长春市,0.25,0.31,0.19,0.2,0.18,0.2,0.23,0.25,0.21,0.21,0.24,0.23,0.27,0.21,0.2,0.26,0.22,0.27,0.24,0.3,0.26,0.31,0.33,0.34,0.33,0.34,0.33,0.24,0.21
河北省,保定市,0.24,0.29,0.19,0.19,0.18,0.2,0.23,0.23,0.21,0.21,0.24,0.23,0.22,0.21,0.19,0.26,0.22,0.26,0.24,0.28,0.26,0.31,0.33,0.32,0.33,0.33,0.32,0.23,0.21
河南省,开封市,0.23,0.28,0.17,0.19,0.18,0.19,0.21,0.23,0.2,0.2,0.22,0.23,0.21,0.19,0.19,0.26,0.22,0.23,0.24,0.26,0.25,0.31,0.33,0.31,0.32,0.33,0.32,0.23,0.21
江西省,宜春市,0.23,0.28,0.17,0.19,0.16,0.19,0.2,0.22,0.19,0.2,0.21,0.23,0.21,0.19,0.19,0.25,0.21,0.23,0.24,0.25,0.25,0.3,0.31,0.31,0.3,0.33,0.29,0.23,0.21
湖南省,怀化市,0.23,0.27,0.17,0.18,0.15,0.18,0.18,0.21,0.19,0.19,0.21,0.21,0.21,0.19,0.19,0.25,0.21,0.22,0.24,0.25,0.25,0.29,0.29,0.3,0.29,0.31,0.29,0.23,0.21
浙江省,宁波市,0.21,0.26,0.17,0.18,0.15,0.18,0.17,0.21,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.24,0.2,0.21,0.22,0.25,0.25,0.29,0.28,0.28,0.29,0.31,0.28,0.23,0.2
浙江省,温州市,0.19,0.24,0.17,0.17,0.15,0.18,0.17,0.2,0.19,0.19,0.2,0.2,0.19,0.18,0.18,0.22,0.19,0.21,0.22,0.22,0.24,0.28,0.28,0.28,0.29,0.31,0.27,0.22,0.2
浙江省,台州市,0.19,0.23,0.16,0.17,0.15,0.17,0.17,0.2,0.18,0.17,0.19,0.2,0.19,0.17,0.18,0.21,0.19,0.21,0.21,0.22,0.24,0.27,0.27,0.27,0.28,0.31,0.27,0.21,0.19
贵州省,遵义市,0.19,0.22,0.15,0.17,0.15,0.16,0.16,0.2,0.18,0.17,0.19,0.19,0.19,0.17,0.18,0.2,0.19,0.2,0.21,0.22,0.24,0.27,0.27,0.27,0.27,0.31,0.25,0.21,0.19
河北省,邯郸市,0.18,0.21,0.15,0.16,0.15,0.16,0.16,0.19,0.17,0.16,0.19,0.19,0.19,0.15,0.18,0.2,0.19,0.2,0.2,0.22,0.24,0.26,0.26,0.26,0.26,0.27,0.25,0.2,0.19
河南省,漯河市,0.18,0.21,0.15,0.16,0.15,0.15,0.16,0.19,0.17,0.16,0.18,0.17,0.19,0.15,0.17,0.2,0.17,0.2,0.2,0.21,0.24,0.25,0.25,0.26,0.26,0.25,0.25,0.2,0.19
安徽省,池州市,0.17,0.21,0.15,0.16,0.14,0.14,0.14,0.19,0.16,0.15,0.18,0.17,0.18,0.15,0.17,0.19,0.17,0.19,0.2,0.21,0.23,0.24,0.25,0.24,0.25,0.24,0.24,0.2,0.18
浙江省,嘉兴市,0.16,0.21,0.15,0.15,0.14,0.14,0.14,0.18,0.15,0.15,0.18,0.17,0.18,0.15,0.17,0.18,0.17,0.19,0.2,0.2,0.22,0.24,0.23,0.24,0.25,0.23,0.24,0.2,0.18
江苏省,常州市,0.16,0.21,0.15,0.15,0.14,0.14,0.14,0.18,0.14,0.15,0.18,0.17,0.16,0.15,0.17,0.17,0.17,0.18,0.2,0.2,0.22,0.24,0.23,0.22,0.24,0.21,0.24,0.19,0.17
贵州省,贵阳市,0.16,0.2,0.15,0.15,0.13,0.13,0.14,0.18,0.14,0.15,0.17,0.17,0.16,0.15,0.16,0.17,0.17,0.17,0.19,0.18,0.21,0.21,0.21,0.22,0.22,0.2,0.24,0.19,0.17
广西壮族自治区,南宁市,0.16,0.2,0.15,0.14,0.13,0.13,0.13,0.16,0.14,0.15,0.17,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.18,0.17,0.21,0.21,0.21,0.21,0.21,0.2,0.24,0.18,0.17
山东省,青岛市,0.16,0.2,0.14,0.14,0.12,0.13,0.13,0.16,0.14,0.14,0.16,0.16,0.16,0.14,0.16,0.16,0.17,0.17,0.17,0.17,0.21,0.21,0.2,0.21,0.21,0.2,0.24,0.18,0.16
湖南省,郴州市,0.15,0.2,0.14,0.14,0.12,0.12,0.13,0.16,0.13,0.14,0.16,0.16,0.16,0.14,0.15,0.16,0.17,0.17,0.16,0.17,0.2,0.19,0.2,0.2,0.21,0.19,0.22,0.18,0.16
安徽省,铜陵市,0.15,0.2,0.14,0.14,0.12,0.12,0.13,0.16,0.13,0.14,0.16,0.16,0.15,0.14,0.15,0.15,0.17,0.16,0.16,0.16,0.19,0.19,0.19,0.19,0.2,0.19,0.21,0.18,0.16
江西省,上饶市,0.15,0.19,0.14,0.14,0.12,0.11,0.13,0.16,0.13,0.13,0.16,0.15,0.14,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.19,0.17,0.19,0.19,0.2,0.19,0.19,0.17,0.16
浙江省,绍兴市,0.14,0.18,0.13,0.13,0.11,0.11,0.13,0.13,0.13,0.13,0.16,0.15,0.14,0.13,0.15,0.14,0.16,0.15,0.16,0.16,0.19,0.17,0.19,0.17,0.2,0.18,0.19,0.17,0.16
河南省,商丘市,0.14,0.18,0.13,0.13,0.11,0.11,0.12,0.13,0.13,0.13,0.16,0.15,0.14,0.13,0.15,0.14,0.15,0.15,0.16,0.16,0.19,0.17,0.19,0.15,0.17,0.18,0.19,0.17,0.16
江苏省,扬州市,0.14,0.17,0.13,0.13,0.11,0.11,0.12,0.12,0.13,0.13,0.15,0.15,0.14,0.13,0.15,0.13,0.15,0.15,0.16,0.16,0.19,0.16,0.18,0.15,0.17,0.18,0.19,0.17,0.16
湖南省,邵阳市,0.13,0.17,0.13,0.13,0.11,0.11,0.12,0.12,0.13,0.12,0.15,0.15,0.14,0.13,0.14,0.13,0.15,0.15,0.15,0.15,0.17,0.15,0.18,0.15,0.17,0.17,0.19,0.16,0.15
山东省,菏泽市,0.13,0.17,0.12,0.13,0.11,0.11,0.12,0.12,0.13,0.12,0.15,0.15,0.13,0.13,0.14,0.13,0.13,0.15,0.15,0.15,0.17,0.15,0.16,0.15,0.17,0.16,0.19,0.16,0.15
湖南省,湘潭市,0.13,0.17,0.12,0.13,0.11,0.1,0.12,0.12,0.12,0.12,0.15,0.14,0.13,0.12,0.14,0.13,0.13,0.14,0.14,0.14,0.16,0.15,0.16,0.14,0.17,0.16,0.17,0.16,0.15
河南省,平顶山市,0.13,0.16,0.12,0.12,0.11,0.1,0.12,0.12,0.11,0.12,0.15,0.14,0.13,0.12,0.14,0.12,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.14,0.16,0.16,0.17,0.15,0.15
江苏省,无锡市,0.12,0.15,0.12,0.12,0.11,0.1,0.12,0.11,0.11,0.12,0.14,0.14,0.12,0.12,0.14,0.12,0.13,0.13,0.14,0.14,0.15,0.14,0.15,0.13,0.16,0.15,0.17,0.15,0.15
河北省,廊坊市,0.12,0.15,0.11,0.12,0.1,0.1,0.12,0.11,0.11,0.11,0.13,0.13,0.12,0.12,0.14,0.12,0.13,0.13,0.13,0.14,0.15,0.14,0.15,0.13,0.16,0.15,0.17,0.14,0.15
广东省,江门市,0.12,0.15,0.11,0.12,0.1,0.1,0.11,0.11,0.11,0.11,0.13,0.13,0.12,0.11,0.14,0.12,0.13,0.12,0.13,0.13,0.15,0.13,0.15,0.13,0.16,0.15,0.16,0.14,0.15
浙江省,金华市,0.12,0.15,0.11,0.12,0.1,0.1,0.11,0.11,0.11,0.11,0.13,0.13,0.12,0.11,0.14,0.11,0.12,0.12,0.12,0.12,0.14,0.13,0.15,0.13,0.16,0.15,0.16,0.14,0.15
福建省,泉州市,0.11,0.14,0.11,0.12,0.1,0.09,0.11,0.11,0.11,0.11,0.13,0.13,0.12,0.11,0.14,0.11,0.12,0.12,0.12,0.12,0.14,0.13,0.14,0.12,0.16,0.15,0.15,0.14,0.14
福建省,三明市,0.11,0.14,0.11,0.12,0.1,0.09,0.11,0.1,0.11,0.11,0.13,0.13,0.12,0.11,0.14,0.11,0.12,0.12,0.12,0.12,0.14,0.13,0.14,0.12,0.15,0.15,0.14,0.14,0.14
陕西省,咸阳市,0.11,0.14,0.11,0.11,0.1,0.09,0.11,0.1,0.11,0.1,0.12,0.13,0.12,0.11,0.13,0.11,0.12,0.12,0.12,0.12,0.14,0.13,0.13,0.12,0.14,0.15,0.14,0.13,0.14
河北省,石家庄市,0.1,0.14,0.11,0.11,0.09,0.09,0.11,0.1,0.11,0.1,0.12,0.13,0.11,0.11,0.13,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.13,0.14
山东省,济南市,0.1,0.14,0.11,0.11,0.09,0.09,0.11,0.1,0.1,0.1,0.11,0.12,0.11,0.1,0.13,0.1,0.11,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.13,0.14,0.14,0.12,0.14
广东省,汕头市,0.1,0.14,0.1,0.1,0.09,0.09,0.11,0.1,0.1,0.1,0.11,0.12,0.11,0.1,0.13,0.1,0.1,0.11,0.11,0.11,0.12,0.13,0.12,0.12,0.13,0.14,0.14,0.11,0.14
