date,province,city,confirm,dead,heal
03.30,广东,江门市,23,0,23
03.31,广东,江门市,23,0,23
03.01,广东,珠海市,98,1,75
03.02,广东,珠海市,98,1,80
03.03,广东,珠海市,98,1,81
03.04,广东,珠海市,98,1,82
03.05,广东,珠海市,98,1,83
03.06,广东,珠海市,98,1,90
03.07,广东,珠海市,98,1,95
03.08,广东,珠海市,98,1,95
03.09,广东,珠海市,98,1,95
03.10,广东,珠海市,98,1,95
03.11,广东,珠海市,98,1,97
03.12,广东,珠海市,98,1,97
03.13,广东,珠海市,98,1,97
03.14,广东,珠海市,98,1,97
03.15,广东,珠海市,98,1,97
03.16,广东,珠海市,98,1,97
03.17,广东,珠海市,98,1,97
03.18,广东,珠海市,98,1,97
03.19,广东,珠海市,98,1,97
03.20,广东,珠海市,99,1,97
03.21,广东,珠海市,100,1,97
03.22,广东,珠海市,100,1,97
03.23,广东,珠海市,100,1,97
03.24,广东,珠海市,101,1,97
03.25,广东,珠海市,98,1,97
03.26,广东,珠海市,98,1,97
03.27,广东,珠海市,98,1,97
03.28,广东,珠海市,102,1,0
03.29,广东,珠海市,98,1,97
03.30,广东,珠海市,98,1,97
03.31,广东,珠海市,98,1,97
03.01,广东,汕头市,25,0,22
03.02,广东,汕头市,25,0,22
03.03,广东,汕头市,25,0,22
03.04,广东,汕头市,25,0,22
03.05,广东,汕头市,25,0,22
03.06,广东,汕头市,25,0,23
