迁入省份,迁入城市,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229
山西省,运城市,0.31,0.29,0.3,0.24,0.25,0.23,0.26,0.29,0.3,0.33,0.26,0.31,0.28,0.26,0.26,0.29,0.25,0.28,0.26,0.32,0.33,0.34,0.29,0.29,0.3,0.3,0.28,0.3,0.3
广东省,惠州市,0.29,0.29,0.3,0.22,0.25,0.23,0.25,0.28,0.3,0.33,0.26,0.31,0.28,0.25,0.25,0.28,0.24,0.28,0.26,0.32,0.33,0.33,0.28,0.29,0.3,0.3,0.28,0.3,0.28
陕西省,咸阳市,0.29,0.29,0.28,0.22,0.25,0.23,0.24,0.27,0.3,0.33,0.25,0.3,0.27,0.25,0.25,0.28,0.24,0.27,0.25,0.3,0.31,0.32,0.28,0.28,0.3,0.29,0.28,0.28,0.28
浙江省,杭州市,0.27,0.28,0.28,0.22,0.25,0.23,0.24,0.26,0.26,0.31,0.25,0.3,0.27,0.24,0.25,0.26,0.22,0.27,0.24,0.28,0.3,0.32,0.27,0.27,0.3,0.29,0.28,0.28,0.27
福建省,泉州市,0.27,0.26,0.28,0.21,0.25,0.23,0.24,0.26,0.25,0.31,0.25,0.29,0.27,0.24,0.25,0.25,0.22,0.26,0.24,0.27,0.3,0.31,0.26,0.27,0.3,0.28,0.27,0.28,0.27
山东省,聊城市,0.27,0.26,0.27,0.21,0.25,0.22,0.23,0.25,0.24,0.31,0.25,0.27,0.27,0.24,0.24,0.25,0.21,0.26,0.24,0.27,0.3,0.31,0.26,0.27,0.27,0.28,0.27,0.27,0.27
河南省,漯河市,0.26,0.26,0.25,0.21,0.23,0.22,0.23,0.24,0.22,0.31,0.24,0.27,0.26,0.23,0.24,0.25,0.21,0.26,0.24,0.27,0.29,0.31,0.26,0.26,0.27,0.27,0.26,0.26,0.26
河南省,焦作市,0.23,0.25,0.25,0.2,0.22,0.21,0.22,0.24,0.22,0.3,0.22,0.26,0.25,0.23,0.23,0.25,0.21,0.26,0.24,0.26,0.29,0.29,0.26,0.26,0.27,0.26,0.25,0.25,0.26
贵州省,黔南布依族苗族自治州,0.22,0.25,0.23,0.2,0.22,0.2,0.22,0.23,0.22,0.3,0.21,0.26,0.25,0.23,0.23,0.25,0.2,0.24,0.23,0.26,0.28,0.29,0.26,0.26,0.26,0.26,0.25,0.25,0.26
江西省,赣州市,0.22,0.24,0.23,0.2,0.22,0.19,0.21,0.23,0.22,0.29,0.21,0.26,0.24,0.22,0.22,0.25,0.2,0.24,0.22,0.26,0.27,0.28,0.26,0.25,0.26,0.26,0.25,0.24,0.26
四川省,绵阳市,0.22,0.24,0.23,0.2,0.2,0.19,0.21,0.23,0.22,0.28,0.21,0.26,0.23,0.22,0.22,0.23,0.2,0.23,0.22,0.25,0.27,0.28,0.26,0.24,0.25,0.26,0.24,0.24,0.26
江苏省,苏州市,0.22,0.23,0.23,0.2,0.19,0.19,0.21,0.23,0.22,0.28,0.2,0.25,0.23,0.22,0.21,0.22,0.19,0.23,0.22,0.25,0.25,0.28,0.26,0.24,0.25,0.25,0.24,0.23,0.26
四川省,广安市,0.22,0.23,0.22,0.2,0.19,0.19,0.21,0.22,0.21,0.26,0.2,0.25,0.23,0.21,0.21,0.22,0.19,0.23,0.22,0.24,0.24,0.27,0.25,0.24,0.24,0.24,0.24,0.23,0.25
广东省,湛江市,0.22,0.23,0.22,0.19,0.19,0.18,0.21,0.22,0.21,0.26,0.2,0.24,0.23,0.21,0.2,0.21,0.19,0.23,0.21,0.24,0.23,0.27,0.25,0.24,0.23,0.24,0.24,0.22,0.23
河南省,安阳市,0.22,0.23,0.22,0.19,0.19,0.18,0.21,0.2,0.2,0.25,0.19,0.23,0.23,0.21,0.19,0.21,0.19,0.22,0.21,0.24,0.22,0.26,0.24,0.23,0.23,0.23,0.24,0.22,0.23
广东省,佛山市,0.21,0.21,0.22,0.19,0.18,0.17,0.2,0.2,0.2,0.24,0.19,0.23,0.22,0.21,0.19,0.2,0.18,0.22,0.21,0.23,0.22,0.26,0.24,0.23,0.22,0.23,0.23,0.21,0.23
江苏省,盐城市,0.2,0.21,0.21,0.18,0.18,0.17,0.2,0.19,0.2,0.24,0.19,0.22,0.21,0.2,0.19,0.19,0.18,0.22,0.2,0.23,0.22,0.26,0.23,0.23,0.22,0.22,0.23,0.21,0.22
浙江省,温州市,0.18,0.2,0.21,0.18,0.18,0.17,0.19,0.19,0.2,0.24,0.19,0.22,0.21,0.2,0.19,0.19,0.18,0.2,0.2,0.22,0.22,0.26,0.23,0.23,0.22,0.22,0.23,0.21,0.22
江苏省,南京市,0.18,0.2,0.21,0.18,0.18,0.17,0.19,0.19,0.19,0.24,0.19,0.22,0.21,0.19,0.19,0.19,0.17,0.2,0.19,0.22,0.22,0.26,0.23,0.22,0.22,0.22,0.22,0.21,0.22
湖南省,株洲市,0.18,0.2,0.21,0.18,0.18,0.16,0.18,0.19,0.19,0.23,0.18,0.22,0.2,0.19,0.19,0.18,0.17,0.2,0.19,0.21,0.21,0.24,0.22,0.22,0.21,0.22,0.22,0.21,0.22
陕西省,宝鸡市,0.18,0.2,0.21,0.18,0.18,0.16,0.17,0.18,0.19,0.23,0.18,0.22,0.19,0.18,0.18,0.18,0.17,0.19,0.19,0.2,0.2,0.24,0.22,0.22,0.21,0.21,0.22,0.2,0.21
云南省,昆明市,0.18,0.19,0.21,0.17,0.17,0.16,0.17,0.18,0.19,0.23,0.18,0.22,0.19,0.17,0.18,0.18,0.17,0.19,0.18,0.2,0.2,0.24,0.22,0.21,0.2,0.21,0.22,0.19,0.21
